city,crime,value
569,Alcochete,Crimes de homicídio voluntário consumado,0
570,Odemira,Crimes de homicídio voluntário consumado,0
571,Lezíria do Tejo,Crimes de homicídio voluntário consumado,4
572,Abrantes,Roubo por esticão e na via pública,0
573,Loures,Roubo por esticão e na via pública,158
574,Moita,Roubo por esticão e na via pública,46
575,Setúbal,Roubo por esticão e na via pública,132
576,Vila Franca de Xira,Roubo por esticão e na via pública,56
577,Aljustrel,Roubo por esticão e na via pública,0
578,Alvito,Roubo por esticão e na via pública,0
579,Mértola,Roubo por esticão e na via pública,0
580,Serpa,Roubo por esticão e na via pública,0
581,Benavente,Roubo por esticão e na via pública,11
582,Santarém,Roubo por esticão e na via pública,22
583,Paredes de Coura,Crimes contra animais de companhia,0
584,Vila Verde,Crimes contra animais de companhia,8
585,Vila Pouca de Aguiar,Crimes contra animais de companhia,0
586,Castelo de Paiva,Crimes contra animais de companhia,5
587,Terras de Trás-os-Montes,Crimes contra animais de companhia,19
589,Águeda,Crimes contra animais de companhia,4
590,Rio Maior,Crimes de homicídio voluntário consumado,0
591,Redondo,Crimes de homicídio voluntário consumado,0
592,Reguengos de Monsaraz,Crimes de homicídio voluntário consumado,0
593,Silves,Crimes de homicídio voluntário consumado,0
594,Lajes das Flores,Crimes de homicídio voluntário consumado,0
595,Madalena,Crimes de homicídio voluntário consumado,0
596,Vila da Praia da Vitória,Crimes de homicídio voluntário consumado,0
597,Vila Franca do Campo,Crimes de homicídio voluntário consumado,0
599,Mourão,Roubo por esticão e na via pública,0
600,Faro,Roubo por esticão e na via pública,85
601,Monchique,Roubo por esticão e na via pública,0
602,Silves,Roubo por esticão e na via pública,10
603,Lajes do Pico,Roubo por esticão e na via pública,0
604,Velas,Roubo por esticão e na via pública,0
605,Vila do Porto,Roubo por esticão e na via pública,0
606,Calheta,Roubo por esticão e na via pública,0
607,Porto Santo,Roubo por esticão e na via pública,0
608,Santana,Roubo por esticão e na via pública,0
